chrome.input.ime.onCandidateClicked.addListener mychrome_input_ime_onCandidateClicked_addListener
chrome.input.ime.onMenuItemActivated.addListener mychrome_input_ime_onMenuItemActivated_addListener
chrome.input.ime.onSurroundingTextChanged.addListener mychrome_input_ime_onSurroundingTextChanged_addListener
chrome.input.ime.onReset.addListener mychrome_input_ime_onReset_addListener
chrome.instanceID.getID mychrome_instanceID_getID
chrome.instanceID.getCreationTime mychrome_instanceID_getCreationTime
chrome.instanceID.getToken mychrome_instanceID_getToken
chrome.instanceID.deleteToken mychrome_instanceID_deleteToken
chrome.instanceID.deleteID mychrome_instanceID_deleteID
chrome.instanceID.onTokenRefresh.addListener mychrome_instanceID_onTokenRefresh_addListener
chrome.management.getAll mychrome_management_getAll
chrome.management.get mychrome_management_get
chrome.management.getSelf mychrome_management_getSelf
chrome.management.getPermissionWarningsById mychrome_management_getPermissionWarningsById
chrome.management.getPermissionWarningsByManifest mychrome_management_getPermissionWarningsByManifest
chrome.management.setEnabled mychrome_management_setEnabled
chrome.management.uninstall mychrome_management_uninstall
chrome.management.uninstallSelf mychrome_management_uninstallSelf
chrome.management.launchApp mychrome_management_launchApp
chrome.management.createAppShortcut mychrome_management_createAppShortcut
chrome.management.setLaunchType mychrome_management_setLaunchType
chrome.management.generateAppForLink mychrome_management_generateAppForLink
chrome.management.onInstalled.addListener mychrome_management_onInstalled_addListener
chrome.management.onUninstalled.addListener mychrome_management_onUninstalled_addListener
chrome.management.onEnabled.addListener mychrome_management_onEnabled_addListener
chrome.management.onDisabled.addListener mychrome_management_onDisabled_addListener
chrome.networking.config.setNetworkFilter mychrome_networking_config_setNetworkFilter
chrome.networking.config.finishAuthentication mychrome_networking_config_finishAuthentication
chrome.networking.config.onCaptivePortalDetected.addListener mychrome_networking_config_onCaptivePortalDetected_addListener
chrome.notifications.create mychrome_notifications_create
chrome.notifications.update mychrome_notifications_update
chrome.notifications.clear mychrome_notifications_clear
chrome.notifications.getAll mychrome_notifications_getAll
chrome.notifications.getPermissionLevel mychrome_notifications_getPermissionLevel
chrome.notifications.onClosed.addListener mychrome_notifications_onClosed_addListener
chrome.notifications.onClicked.addListener mychrome_notifications_onClicked_addListener
chrome.notifications.onButtonClicked.addListener mychrome_notifications_onButtonClicked_addListener
chrome.notifications.onPermissionLevelChanged.addListener mychrome_notifications_onPermissionLevelChanged_addListener
chrome.notifications.onShowSettings.addListener mychrome_notifications_onShowSettings_addListener
chrome.omnibox.setDefaultSuggestion mychrome_omnibox_setDefaultSuggestion
chrome.omnibox.onInputStarted.addListener mychrome_omnibox_onInputStarted_addListener
chrome.omnibox.onInputChanged.addListener mychrome_omnibox_onInputChanged_addListener
chrome.omnibox.onInputEntered.addListener mychrome_omnibox_onInputEntered_addListener
chrome.omnibox.onInputCancelled.addListener mychrome_omnibox_onInputCancelled_addListener
chrome.pageAction.show mychrome_pageAction_show
chrome.pageAction.hide mychrome_pageAction_hide
chrome.pageAction.setTitle mychrome_pageAction_setTitle
chrome.pageAction.getTitle mychrome_pageAction_getTitle
chrome.pageAction.setIcon mychrome_pageAction_setIcon
chrome.pageAction.setPopup mychrome_pageAction_setPopup
chrome.pageAction.getPopup mychrome_pageAction_getPopup
chrome.pageAction.onClicked.addListener mychrome_pageAction_onClicked_addListener
chrome.pageCapture.saveAsMHTML mychrome_pageCapture_saveAsMHTML
chrome.permissions.getAll mychrome_permissions_getAll
chrome.permissions.contains mychrome_permissions_contains
chrome.permissions.request mychrome_permissions_request
chrome.permissions.remove mychrome_permissions_remove
chrome.permissions.onAdded.addListener mychrome_permissions_onAdded_addListener
chrome.permissions.onRemoved.addListener mychrome_permissions_onRemoved_addListener
chrome.platformKeys.selectClientCertificates mychrome_platformKeys_selectClientCertificates
chrome.platformKeys.getKeyPair mychrome_platformKeys_getKeyPair
chrome.platformKeys.subtleCrypto mychrome_platformKeys_subtleCrypto
chrome.platformKeys.verifyTLSServerCertificate mychrome_platformKeys_verifyTLSServerCertificate
chrome.power.requestKeepAwake mychrome_power_requestKeepAwake
chrome.power.releaseKeepAwake mychrome_power_releaseKeepAwake
chrome.printerProvider.onGetPrintersRequested.addListener mychrome_printerProvider_onGetPrintersRequested_addListener
